ts,total,USDC,Cash_Polymarket
2025-11-04T02:51:18Z,354,313,41
2025-11-04T02:51:18Z,354,313,41
2025-11-04T03:00:40Z,354,313,41
2025-11-04T03:01:18Z,354,313,41
2025-11-04T03:01:45Z,354,313,41
2025-11-04T03:02:31Z,361,320,41
2025-11-04T03:03:20Z,354,313,41
2025-11-04T03:03:51Z,361,320,41
2025-11-04T03:03:58Z,361,320,41
2025-11-04T03:05:17Z,391,350,41
2025-11-04T03:05:50Z,391,350,41
2025-11-04T03:06:20Z,391,350,41
2025-11-04T03:06:50Z,391,350,41
2025-11-04T03:07:21Z,391,350,41
2025-11-04T03:07:37Z,391,350,41
2025-11-04T03:07:51Z,391,350,41
2025-11-04T03:08:21Z,391,350,41
2025-11-04T03:08:52Z,391,350,41
2025-11-04T03:09:22Z,391,350,41
2025-11-04T03:09:53Z,391,350,41
2025-11-04T03:10:23Z,391,350,41
2025-11-04T03:10:53Z,391,350,41
2025-11-04T03:11:24Z,391,350,41
2025-11-04T03:11:54Z,391,350,41
2025-11-04T03:12:04Z,391,350,41
2025-11-04T03:12:24Z,391,350,41
2025-11-04T03:12:55Z,391,350,41
2025-11-04T03:13:25Z,391,350,41
2025-11-04T03:13:54Z,391,350,41
2025-11-04T03:13:56Z,391,350,41
2025-11-04T03:13:58Z,391,350,41
2025-11-04T03:14:26Z,391,350,41
2025-11-04T03:14:56Z,391,350,41
2025-11-04T03:15:27Z,391,350,41
2025-11-04T03:15:42Z,391,350,41
2025-11-04T03:15:57Z,391,350,41
2025-11-04T03:16:28Z,391,350,41
2025-11-04T03:16:58Z,391,350,41
2025-11-04T03:17:28Z,391,350,41
2025-11-04T03:17:37Z,391,350,41
2025-11-04T03:17:58Z,391,350,41
2025-11-04T03:18:29Z,391,350,41
2025-11-04T03:18:59Z,391,350,41
2025-11-04T03:19:30Z,391,350,41
2025-11-04T03:20:00Z,391,350,41
2025-11-04T03:20:30Z,391,350,41
2025-11-04T03:21:01Z,391,350,41
2025-11-04T03:21:31Z,391,350,41
2025-11-04T03:22:01Z,391,350,41
2025-11-04T03:22:04Z,391,350,41
2025-11-04T03:22:32Z,391,350,41
2025-11-04T03:23:02Z,391,350,41
2025-11-04T03:23:32Z,391,350,41
2025-11-04T03:23:58Z,391,350,41
2025-11-04T03:24:02Z,391,350,41
2025-11-04T03:24:32Z,391,350,41
2025-11-04T03:25:03Z,391,350,41
2025-11-04T03:25:33Z,391,350,41
2025-11-04T03:25:42Z,391,350,41
2025-11-04T03:26:03Z,391,350,41
2025-11-04T03:26:34Z,391,350,41
2025-11-04T03:27:04Z,391,350,41
2025-11-04T03:27:35Z,391,350,41
2025-11-04T03:27:37Z,391,350,41
2025-11-04T03:28:05Z,391,350,41
2025-11-04T03:28:35Z,391,350,41
2025-11-04T03:29:06Z,391,350,41
2025-11-04T03:29:36Z,391,350,41
2025-11-04T03:30:07Z,391,350,41
2025-11-04T03:30:37Z,391,350,41
2025-11-04T03:31:08Z,391,350,41
2025-11-04T03:31:38Z,391,350,41
2025-11-04T03:32:04Z,391,350,41
2025-11-04T03:32:08Z,391,350,41
2025-11-04T03:32:39Z,391,350,41
2025-11-04T03:33:09Z,391,350,41
2025-11-04T03:33:40Z,391,350,41
2025-11-04T03:33:59Z,391,350,41
2025-11-04T03:34:10Z,391,350,41
2025-11-04T03:34:40Z,391,350,41
2025-11-04T03:35:11Z,391,350,41
2025-11-04T03:35:41Z,391,350,41
2025-11-04T03:35:43Z,391,350,41
2025-11-04T03:36:11Z,391,350,41
2025-11-04T03:36:42Z,391,350,41
2025-11-04T03:37:12Z,391,350,41
2025-11-04T03:37:37Z,391,350,41
2025-11-04T03:37:42Z,391,350,41
2025-11-04T03:38:13Z,391,350,41
2025-11-04T03:38:43Z,391,350,41
2025-11-04T03:39:13Z,391,350,41
2025-11-04T03:39:44Z,391,350,41
2025-11-04T03:40:14Z,391,350,41
2025-11-04T03:40:45Z,391,350,41
2025-11-04T03:41:15Z,391,350,41
2025-11-04T03:41:45Z,391,350,41
2025-11-04T03:42:04Z,391,350,41
2025-11-04T03:42:16Z,391,350,41
2025-11-04T03:42:47Z,391,350,41
2025-11-04T03:43:17Z,391,350,41
2025-11-04T03:43:47Z,391,350,41
2025-11-04T03:43:59Z,391,350,41
2025-11-04T03:44:18Z,391,350,41
2025-11-04T03:44:37Z,391,350,41
2025-11-04T03:44:48Z,391,350,41
2025-11-04T03:45:06Z,391,350,41
2025-11-04T03:45:18Z,391,350,41
2025-11-04T03:45:43Z,391,350,41
2025-11-04T03:45:49Z,391,350,41
2025-11-04T03:46:08Z,391,350,41
2025-11-04T03:46:19Z,391,350,41
2025-11-04T03:46:50Z,391,350,41
2025-11-04T03:47:20Z,391,350,41
2025-11-04T03:47:33Z,391,350,41
2025-11-04T03:47:37Z,391,350,41
2025-11-04T03:47:50Z,391,350,41
2025-11-04T03:48:21Z,391,350,41
2025-11-04T03:52:04Z,391,350,41
2025-11-04T03:54:37Z,391,350,41
2025-11-04T03:55:43Z,391,350,41
2025-11-04T03:56:08Z,391,350,41
2025-11-04T03:57:16Z,391,350,41
2025-11-04T03:57:33Z,391,350,41
2025-11-04T04:00:06Z,391,350,41
2025-11-04T04:00:19Z,41.0000341741,4.15E-7,41
2025-11-04T04:01:46Z,41.0000341741,4.15E-7,41
2025-11-04T04:02:05Z,41.0000341741,4.15E-7,41
2025-11-04T04:04:27Z,41.0000341741,4.15E-7,41
2025-11-04T04:04:37Z,41.0000341741,4.15E-7,41
2025-11-04T04:06:08Z,41.0000341741,4.15E-7,41
2025-11-04T04:07:03Z,41.0000341741,4.15E-7,41
2025-11-04T04:07:16Z,41.0000341741,4.15E-7,41
2025-11-04T04:07:33Z,41.0000341741,4.15E-7,41
2025-11-04T04:10:07Z,41.0000341741,4.15E-7,41
2025-11-04T04:11:25Z,41.0000341741,4.15E-7,41
2025-11-04T04:11:46Z,41.0000341741,4.15E-7,41
2025-11-04T04:13:27Z,41.0000341741,4.15E-7,41
